Authors,Author Full Names,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Affiliations,Abstract,Author Keywords,Index Keywords,Editors,Publisher,ISSN,ISBN,CODEN,Language of Original Document,Document Type,Publication Stage,Open Access,Source,EID
Konte M.; Ndubuisi G.,"Konte, Maty (48461498500); Ndubuisi, Gideon (57215969167)",48461498500; 57215969167,"Remittance dependence, support for taxation and quality of public services in Africa",2023,Journal of Institutional Economics,20,,e7,,,,0,10.1017/S1744137423000322,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85180304764&doi=10.1017%2fS1744137423000322&partnerID=40&md5=848002c38d69cbed6f185fd0b250d2c2,"World Bank/International Finance Corporation, Washington, DC, United States; Delft University of Technology, Delft, Netherlands; UNU-MERIT, Maastricht University, Maastricht, Netherlands","We explore the heterogeneous effect of migrant remittances on citizens' support for taxation using a sample comprising 45,000 individuals from the Afrobarometer survey round 7 [2016-2018] across 34 African countries. To correct for unobserved heterogeneity, we endogenously identify latent classes/subtypes of individuals that share similar patterns on how their support for taxation is affected by their unobserved and observed characteristics, including remittance dependency. We apply the finite multilevel mixture of regressions approach, a supervised machine learning method to detect hidden classes in the data without imposing a priori assumptions on class membership. Our data are best generated by an econometric model with two classes/subtypes of individuals. In class 1 where more than two-thirds of the citizens belong, we do not find any significant evidence that remittance dependence affects support for taxation. However, in class 2 where the remaining one-third of the citizens belong, we find a significant negative effect of remittance dependence on support for taxation. Furthermore, we find that citizens who have a positive appraisal of the quality of the public service delivery have a lower probability of belonging to the class in which depending on remittance reduces support for taxation. The findings emphasize the need for efficient public services provisioning to counteract the adverse effect of remittances on tax morale.  © The Author(s), 2023. Published by Cambridge University Press on behalf of Millennium Economics Ltd.",Africa; public services; remittance; tax morale; taxation,,,Cambridge University Press,17441374,,,English,Article,Final,All Open Access; Green Open Access,Scopus,2-s2.0-85180304764
Kucherova H.; Bilska O.; Serhieieva L.,"Kucherova, Hanna (57210337232); Bilska, Olha (57210344422); Serhieieva, Liudmyla (6507641212)",57210337232; 57210344422; 6507641212,Matrix models for assessing the taxation subjects' interaction under uncertainty of socio-economic processes,2019,CEUR Workshop Proceedings,2422,,,371,384,13,3,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85071134350&partnerID=40&md5=032aaaf17e1b2fc7c2cc386b33fb3fd4,"Classic Private University, 70B, Zhukovskoho Str., Zaporizhzhia, 69002, Ukraine; Zaporizhzhia State Medical University, 26, Mayakovskoho Ave., Zaporizhzhia, 69000, Ukraine","Topicality of research into interactions between tax environmentsubjects is justified by growing uncertainty of changes in socio-economicprocesses. The aim of this study is to assess interaction between taxpayers,controlling bodies and public authorities in view of dominant paradigms andresults of expert and sociological research on subjects with regard to the degreeof their influence on tax environment climate. Interaction is defined as a certaintype of relations between subjects that result in developing mutual influencewhich induces corresponding changes of their states. Interaction is essentially apoorly structured category, which dictates a need to use soft modeling andsubjective evaluation methods (matrix models). According to the degree ofinfluence on tax environment climate, public authorities are proved to be the mostinfluential subject, while taxpayers are found to be the least influential.Summative value of subjects' interaction is set as Very Good. It is determined bytaxpayers' data as the best among other subjects. Based on the analysis ofdynamics in parameters and activity of interaction subjects it is argued that inorder to improve subjects' interaction productivity, it is appropriate to improvethe mechanisms of subjects' interaction with public authorities of all others. © 2019 CEUR-WS. All rights reserved.",Assess; Controlling bodies; Influence; Interactions; Matrix models; Public authorities; Taxpayers,Beam plasma interactions; Economics; Machine learning; Taxation; Assess; Controlling bodies; Influence; Matrix model; Public authorities; Taxpayers; Uncertainty analysis,Kiv A.; Semerikov S.; Soloviev V.; Kibalnyk L.; Danylchuk H.; Matviychuk A.,CEUR-WS,16130073,,,English,Conference paper,Final,,Scopus,2-s2.0-85071134350
Kumar N.N.; Sridhar R.; Prasanna U.U.; Priyanka G.,"Kumar, N. Naveen (59060783800); Sridhar, R. (22981567900); Prasanna, U. Uday (58304859600); Priyanka, G. (57219798219)",59060783800; 22981567900; 58304859600; 57219798219,Opportunities of Machine Learning Algorithms in the Tax Default Prediction - A Survey,2023,"7th International Conference on Trends in Electronics and Informatics, ICOEI 2023 - Proceedings",,,,1225,1231,6,2,10.1109/ICOEI56765.2023.10125962,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85161223055&doi=10.1109%2fICOEI56765.2023.10125962&partnerID=40&md5=cf53f907dc3efbef5ff7768a6a4bde7e,"Karpagam Academy of Higher Education, Department of Computer Science and Engineering, Coimbatore, India","To develop the countrywide revenue plans, the tax prediction activities should be monitored and activated efficiently. This research study concentrates on the survey of various Machine Learning (ML) algorithms to find better solutions. Financial profit ratios and revenue flow statements have been used to find similar occurrences like income manipulations, false cash flows, and the relationship between tax risk and profitability ratio. Also, this research study addresses the financial suggestions of unpaid taxes by practicing an automated technique to anticipate tax default. In the previous analyses, tax default prediction has attained very small consideration. Findings suggested that the existing analyses were unable to predict the information on tax default in the real-world economic data because it fails to report for appropriate data exchanges as well as non-linear relations among tax default behaviours and prior-warning financial indicators. This study aims to predict the best solution for forecasting tax default using cutting-edge ML techniques.  © 2023 IEEE.",Financial Profit; Machine Learning; Revenue Fallback; Revenue Flow Statement; Tax Prediction,Electronic data interchange; Learning algorithms; Machine learning; Profitability; Taxation; Automated techniques; Cash flow; Financial profits; Machine learning algorithms; Machine-learning; Real-world; Research studies; Revenue fallback; Revenue flow statement; Tax prediction; Forecasting,,Institute of Electrical and Electronics Engineers Inc.,,979-835039728-4,,English,Conference paper,Final,,Scopus,2-s2.0-85161223055
Kumar R.; Malholtra R.K.; Singh R.; Kathuria S.; Balyan R.; Pal P.,"Kumar, Rakesh (58603878800); Malholtra, Rupa Khannna (57575343900); Singh, Rajesh (57610169600); Kathuria, Samta (58175402200); Balyan, Rajat (58174474100); Pal, Pradeepto (58195351500)",58603878800; 57575343900; 57610169600; 58175402200; 58174474100; 58195351500,Artificial Intelligence Role in Electronic Invoice Under Goods and Services Tax,2023,"2023 International Conference on Computational Intelligence, Communication Technology and Networking, CICTN 2023",,,,140,143,3,2,10.1109/CICTN57981.2023.10140870,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85163169980&doi=10.1109%2fCICTN57981.2023.10140870&partnerID=40&md5=4c54a917a2cb427a83e9b4faeb5299b6,"Uttaranchal University, Uttaranchal Institute of Management, Dehradun, India; Graphic Era Deemed to Be University, Deprtment of Commerce, Dehrdun, India; Uttaranchal University, Division of Research & Innovation, Dehradun, India; Uttaranchal University, Lcd, Division of Research & Innovation, Dehradun, India; Uttaranchal University, Uttaranchal Institute of Technological, Dehradun, India; Uttaranchal University, School of Agriculture, Dehradun, India","Deep learning, machine learning, and artificial intelligence are now widely used ideas. This. Legal and ethical considerations should also be considered while developing and deploying artificial intelligence technologies. New statistical and analytical tools that offer speed and simplicity are now available to tax professionals. AI can help with fraud identification, which will help with governmental oversight and control. This article focuses on a few GST features enabled by AI and offers recommendations for enhancing the current tools. The implementation of the good and service tax is the foundation of artificial competition. It lessens tax avoidance and increases transparency among entrepreneurs, common people, and customers. The pre-GST era saw a wide variety of taxation methods, the majority of which relied on physical labor. This study focused on the artificial aspects of electronic participation that facilitate straightforward procedures. Electronic Invoice is an important part which curd tax evasion. The study emphasized E- Invoice and highlighted future recommendations. © 2023 IEEE.",Artificial Intelligence; Assessment; GST; Taxation,Deep learning; Ethical technology; 'current; Analytical tool; Artificial intelligence technologies; Assessment; Ethical considerations; Good and services; GST; Learning machines; Machine-learning; Statistical tools; Taxation,,Institute of Electrical and Electronics Engineers Inc.,,979-835033802-7,,English,Conference paper,Final,,Scopus,2-s2.0-85163169980
López C.P.; Rodríguez M.J.D.; Santos S.L.,"López, César Pérez (59158475100); Rodríguez, María Jesús Delgado (12143439300); Santos, Sonia de Lucas (54779560800)",59158475100; 12143439300; 54779560800,Tax fraud detection through neural networks: An application using a sample of personal income taxpayers,2019,Future Internet,11,4,86,,,,35,10.3390/FI11040086,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85069892155&doi=10.3390%2fFI11040086&partnerID=40&md5=8e9069491c1096f550823d6616a185eb,"Instituto de Estudios Fiscales, Universidad Rey Juan Carlos, Madrid, 28670, Spain; Economía de la Empresa (ADO), Economía Aplicada II y Fundamentos Análisis Económico, Universidad Rey Juan Carlos, Madrid, 28670, Spain; Facultad de Ciencias Económicas y Empresariales, Universidad Autónoma de Madrid, Ciudad Universitaria de Cantoblanco, Madrid, 28049, Spain","The goal of the present research is to contribute to the detection of tax fraud concerning personal income tax returns (IRPF, in Spanish) filed in Spain, through the use of Machine Learning advanced predictive tools, by applying Multilayer Perceptron neural network (MLP) models. The possibilities springing from these techniques have been applied to a broad range of personal income return data supplied by the Institute of Fiscal Studies (IEF). The use of the neural networks enabled taxpayer segmentation as well as calculation of the probability concerning an individual taxpayer's propensity to attempt to evade taxes. The results showed that the selected model has an efficiency rate of 84.3%, implying an improvement in relation to other models utilized in tax fraud detection. The proposal can be generalized to quantify an individual's propensity to commit fraud with regards to other kinds of taxes. These models will support tax offices to help them arrive at the best decisions regarding action plans to combat tax fraud. © 2019 by the authors.",Intelligent systems and networks; Neural networks; Personal income tax; Prediction; Tax fraud,Crime; Forecasting; Intelligent systems; Multilayer neural networks; Neural networks; Action plan; Best decision; Fraud detection; Multilayer perceptron neural networks; Personal income; Personal income taxes; Predictive tools; Tax fraud; Taxation,,MDPI AG,19995903,,,English,Article,Final,All Open Access; Gold Open Access; Green Open Access,Scopus,2-s2.0-85069892155
López J.M.,"López, Jorge Martín (59323892800)",59323892800,"ARTIFICIAL INTELLIGENCE, BIASES AND NON-DISCRIMINATION IN TAX ASSESSMENT PROCEDURE",2022,Cronica Tributaria,1,182,,51,89,38,2,10.47092/CT.22.1.2,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85203700403&doi=10.47092%2fCT.22.1.2&partnerID=40&md5=0281624a290e0e3dbfb414443910cb7f,"Derecho Financiero y Tributario, Universidad de Alicante, Spain","The use of artificial intelligence by Tax Administration can improve the fight against tax fraud, since these advanced techniques, together with the large volume of data available, make it possible to develop predictive models for these purposes. However, the projection of these technological tools to the legal field in general, and to the tax field in particular, may also affect certain principles, rights and guarantees. Thus, discriminatory biases are an example of the risks associated with the incorporation of these new techniques in the adoption of administrative decisions, for example in relation to the possible inclusion of taxpayers in tax assessment procedures. © 2022, Instituto de Estudios Fiscales. All rights reserved.",algorithms; artificial intelligence; biases; discrimination; Machine Learning; profiling taxpayers; tax assessment procedure; transparency,,,Instituto de Estudios Fiscales,26957566,,,Spanish,Article,Final,All Open Access; Gold Open Access; Green Open Access,Scopus,2-s2.0-85203700403
Lahann J.; Scheid M.; Fettke P.,"Lahann, Johannes (56902386800); Scheid, Martin (57210961303); Fettke, Peter (55888276100)",56902386800; 57210961303; 55888276100,Utilizing machine learning techniques to reveal VAT compliance violations in accounting data,2019,"Proceedings - 21st IEEE Conference on Business Informatics, CBI 2019",1,,8808015,1,10,9,15,10.1109/CBI.2019.00008,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85072020763&doi=10.1109%2fCBI.2019.00008&partnerID=40&md5=f572c7f93a1ffab1b0fabccea1da6533,"German Research Center for Artificial Intelligence, Saarland University, Saarbruecken, Germany","In recent years, compliance management has gained more and more interest from a practice and research point of view. The financial service industry, in general, is strongly regulated and has to follow specific laws, standards and guidelines. However, research has shown that little attention is being paid to Value Added Tax (VAT) issues, although there is a high cost and risk exposure, especially in large international companies which use large IT-Infrastructures for tax handling. In this paper, we examine a commonly applied approach for the verification of VAT regulations within Enterprise Resource Planning systems (ERP) and highlight weaknesses as well as error susceptibilities. Furthermore, we show that machine learning techniques can be utilized to minimize risks and increase VAT compliance. We use a supervised learning classifier to predict tax subjects and corresponding tax rates based on related voucher information of journal reports. By comparing the results of our model with the existing rule-based system of an ERP system, we reveal potential anomalies and compliance issues. Our approach was evaluated on a given real-world data set of a leading chemical industry company that was exported from its ERP system. The results were validated by VAT experts of the company. © 2019 IEEE.",Anomaly Detection; Decision Trees; ERP Systems; Machine Learning; VAT Compliance,Anomaly detection; Chemical industry; Classification (of information); Decision trees; Laws and legislation; Learning algorithms; Learning systems; Machine learning; Risk management; Taxation; Compliance management; Enterprise resource planning systems; ERP system; Error susceptibility; International company; Machine learning techniques; Standards and guidelines; VAT Compliance; Enterprise resource planning,Becker J.; Novikov D.,Institute of Electrical and Electronics Engineers Inc.,,978-172810650-2,,English,Conference paper,Final,,Scopus,2-s2.0-85072020763
Lahiri K.; Yang C.,"Lahiri, Kajal (7005637569); Yang, Cheng (57327000500)",7005637569; 57327000500,Boosting tax revenues with mixed-frequency data in the aftermath of COVID-19: The case of New York,2022,International Journal of Forecasting,38,2,,545,566,21,7,10.1016/j.ijforecast.2021.10.005,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85119427455&doi=10.1016%2fj.ijforecast.2021.10.005&partnerID=40&md5=f96f2217c16c0c93712bdc00b44801fb,"University at Albany: SUNY, Department of Economics, 12222, NY, United States; Li Anmin Advanced Institute of Finance and Economics, Liaoning University, China","We forecast New York state tax revenues with a mixed-frequency model using several machine learning techniques. We found that boosting with two dynamic factors extracted from a select list of New York and U.S. leading indicators did best to correctly update revenues for the fiscal year in direct multi-step out-of-sample forecasts. These forecasts were found to be informationally efficient over 18 monthly horizons. In addition to boosting with factors, we also studied the advisability of restricting boosting to select the most recent macro variables to capture abrupt structural changes. Since the COVID-19 pandemic upended all government budgets, our boosted forecasts were used to monitor revenues in real-time for the fiscal year 2021. Our estimates showed a drastic year-over-year decline in actual revenues by over 16% in May 2020, followed by several upward nowcast revisions that led to a recovery of −1% in March 2021, which was close to the actual annual value of −1.6%. © 2021 International Institute of Forecasters",Boosting; COVID-19 Pandemic; DMS forecasting; Forecast efficiency; Machine learning; MIDAS; Tax revenue,,,Elsevier B.V.,1692070,,IJFOE,English,Article,Final,All Open Access; Green Open Access,Scopus,2-s2.0-85119427455
Lam C.H.; Too C.W.; Wong W.Y.; Sam T.H.; Ching B.H.; Hao H.M.,"Lam, Chun Hong (59343961500); Too, Chian Wen (56878660900); Wong, Whee Yen (57203149088); Sam, Toong Hai (57202393048); Ching, Beh Hooi (57216822281); Hao, Hoo Meei (55916364700)",59343961500; 56878660900; 57203149088; 57202393048; 57216822281; 55916364700,Object Detection and Optical Character Recognition for Automated Malaysia Driving License and Road Tax Document Details Retrieval,2024,"2024 6th IEEE Symposium on Computers and Informatics, ISCI 2024",,,,236,241,5,0,10.1109/ISCI62787.2024.10668377,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85204956154&doi=10.1109%2fISCI62787.2024.10668377&partnerID=40&md5=e58805ceb921490f4c6e5c3386675d10,"Universiti Tunku Abudul Rahman, Department of Computing, Kajang, Malaysia; Inti International University, Faculty of Business and Communications, Seremban, Nilai, Malaysia; Universiti Tunku Abdul Rahman, Department of Computing, Kajang, Malaysia","In the realm of automated document information extraction, Object Detection and Optical Character Recognition (OCR) approaches signify a pivotal leap forward. These advancements use machine learning and computer vision to quickly and precisely extract important data from a variety of document formats, including road tax and Malaysian driving license. Object Detection algorithms, with the help of platforms like Roboflow, can identify and localize key elements within documents, simplifying the dataset creation process for further analysis. Meanwhile, OCR technologies, such as Google Vision API, facilitate text and data extraction from images or scanned documents. This combination allows organizations to streamline document handling, eliminate manual processes, and reduce human errors associated with traditional data input methods. Moreover, sophisticated image classification techniques enhance document processing capabilities by improving the accuracy and reliability of extracted information. This integrated approach not only optimizes document management workflows but also sets the stage for developing advanced autonomous and assisted document technologies. As automated driving systems evolve, the seamless integration of Object Detection and OCR has the potential to revolutionize document handling through automated workflows and precise data extraction.  © 2024 IEEE.",Automated Document Extraction; Google Vision API; Object Detection with Roboflow; Optical Character Recognition (OCR),Advanced driver assistance systems; Highway administration; Machine vision; Metadata; Network security; Optical character recognition; Optical data processing; Automated document extraction; Data extraction; Driving licences; Google vision API; Google+; Object detection with roboflow; Objects detection; Optical character recognition; Optical-; Road tax; Driver licensing,,Institute of Electrical and Electronics Engineers Inc.,,979-835035385-3,,English,Conference paper,Final,,Scopus,2-s2.0-85204956154
Lee C.,"Lee, Changro (57202467546)",57202467546,Deep learning-based detection of tax frauds: an application to property acquisition tax,2022,Data Technologies and Applications,56,3,,329,341,12,8,10.1108/DTA-06-2021-0134,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85116610469&doi=10.1108%2fDTA-06-2021-0134&partnerID=40&md5=228a990f2cac5cf1296086abdc2bd66b,"Department of Real Estate, Kangwon National University, Chuncheon, South Korea","Purpose: Sampling taxpayers for audits has always been a major concern for policymakers of tax administration. The purpose of this study is to propose a systematic method to select a small number of taxpayers with a high probability of tax fraud. Design/methodology/approach: An efficient sampling method for taxpayers for an audit is investigated in the context of a property acquisition tax. An autoencoder, a popular unsupervised learning algorithm, is applied to 2,228 tax returns, and reconstruction errors are calculated to determine the probability of tax deficiencies for each return. The reasonableness of the estimated reconstruction errors is verified using the Apriori algorithm, a well-known marketing tool for identifying patterns in purchased item sets. Findings: The sorted reconstruction scores are reasonably consistent with actual fraudulent/non-fraudulent cases, indicating that the reconstruction errors can be utilized to select suspected taxpayers for an audit in a cost-effective manner. Originality/value: The proposed deep learning-based approach is expected to be applied in a real-world tax administration, promoting voluntary compliance of taxpayers, and reinforcing the self-assessing acquisition tax system. © 2021, Emerald Publishing Limited.",Apriori algorithm; Autoencoder; Deep learning; Reconstruction error; Tax audit; Unsupervised learning,Cost effectiveness; Deep learning; Errors; Learning algorithms; Learning systems; Mergers and acquisitions; Unsupervised learning; Apriori algorithms; Auto encoders; Deep learning; Design/methodology/approach; High probability; Policy makers; Property; Reconstruction error; Systematic method; Tax audit; Taxation,,Emerald Publishing,25149288,,,English,Article,Final,,Scopus,2-s2.0-85116610469
Lee C.,"Lee, Changro (57202467546)",57202467546,Training and Interpreting Machine Learning Models: Application in Property Tax Assessment,2022,Real Estate Management and Valuation,30,1,,13,22,9,8,10.2478/remav-2022-0002,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85127543824&doi=10.2478%2fremav-2022-0002&partnerID=40&md5=b8f7c42c0088ce185d588539a2c12499,"Department of Real Estate, Kangwon National University","In contrast to the outstanding performance of the machine learning approach, its adoption in industry appears to be relatively slow compared to the speed of its proliferation in a variety of business sectors. The low interpretability of a black-box-type model, such as a machine learning-based valuation model, is one reason for this. In this study, house prices in Seoul and Jeollanam Province, South Korea, were estimated using a neural network, a representative model to implement machine learning, and we attempted to interpret the resultant price estimations using an interpretability tool called a partial dependence plot. Partial dependence analysis indicated that locally optimized valuation models should be designed to enhance valuation accuracy: a land-oriented model for Seoul and a building-focused model for the Jeollanam Province. The interpretable machine learning approach is expected to catalyze the adoption of machine learning in the industry, including property valuation.  © 2022 Changro Lee, published by Sciendo.",house valuation; interpretability; machine learning; neural network; partial dependence plot,,,Sciendo,23005289,,,English,Article,Final,All Open Access; Gold Open Access,Scopus,2-s2.0-85127543824
Lee Y.H.; Kim E.,"Lee, Yong Hyun (57915514500); Kim, Eunchan (57833221100)",57915514500; 57833221100,Deep learning-based delinquent taxpayer prediction: A scientific administrative approach,2024,KSII Transactions on Internet and Information Systems,18,1,,30,45,15,2,10.3837/tiis.2024.01.003,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85183999618&doi=10.3837%2ftiis.2024.01.003&partnerID=40&md5=3239399c094118072ae279161283be28,"Department of Computer Science and Engineering, Seoul National University, Seoul, 08826, South Korea; College of Business Administration, Seoul National University, Seoul, 08826, South Korea; Department of Intelligence and Information, Seoul National University, Seoul, 08826, South Korea","This study introduces an effective method for predicting individual local tax delinquencies using prevalent machine learning and deep learning algorithms. The evaluation of credit risk holds great significance in the financial realm, impacting both companies and individuals. While credit risk prediction has been explored using statistical and machine learning techniques, their application to tax arrears prediction remains underexplored. We forecast individual local tax defaults in Republic of Korea using machine and deep learning algorithms, including convolutional neural networks (CNN), long short-Term memory (LSTM), and sequence-To-sequence (seq2seq). Our model incorporates diverse credit and public information like loan history, delinquency records, credit card usage, and public taxation data, offering richer insights than prior studies. The results highlight the superior predictive accuracy of the CNN model. Anticipating local tax arrears more effectively could lead to efficient allocation of administrative resources. By leveraging advanced machine learning, this research offers a promising avenue for refining tax collection strategies and resource management. © 2024 Korean Society for Internet Information. All rights reserved.",Deep learning; Financial machine learning; Local tax delinquency; Tax defaulter prediction; Tax information systems.,Convolutional neural networks; Forecasting; Learning algorithms; Learning systems; Long short-term memory; Risk assessment; Convolutional neural network; Credit risks; Deep learning; Financial machine learning; Local tax delinquency; Local taxes; Machine-learning; Risk predictions; Tax defaulter prediction; Tax information system.; Taxation,,Korean Society for Internet Information,19767277,,,English,Article,Final,All Open Access; Gold Open Access,Scopus,2-s2.0-85183999618
Levi S.,"Levi, Sebastian (57215203633)",57215203633,"Why hate carbon taxes? Machine learning evidence on the roles of personal responsibility, trust, revenue recycling, and other factors across 23 European countries",2021,Energy Research and Social Science,73,,101883,,,,79,10.1016/j.erss.2020.101883,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85099447771&doi=10.1016%2fj.erss.2020.101883&partnerID=40&md5=4e2776861632d87c8c8133080dfee0f6,"Hertie School, Friedrichstraße 180, Berlin, 10117, Germany; Yale University, New Haven, 06520, CT, United States","Carbon taxes are considered a key instrument for achieving deep decarbonization but are often unpopular among voters. While existing studies indicate that public opposition to carbon taxes is influenced by climate change belief and by political trust, less is known about the relevance of other factors. Moreover, it remains unclear why people oppose carbon taxes more fiercely than other climate policies. To enhance understanding of carbon tax opposition, I synthesize and categorize 28 conditions that potentially provoke public opposition to carbon taxes, assess their independent importance for predicting carbon tax opposition, and review the specific form in which they predict carbon tax opposition. This analysis draws on data from approximately 44,400 individuals from 23 European countries. It uses a random forest model, a machine learning method, to estimate independent prediction effects. The results identify the feeling of personal responsibility for trying to reduce climate change as the most important condition for predicting opposition to carbon taxes and for predicting attitudes on other climate policies. Political trust, in contrast, strongly predicts carbon tax opposition but not attitudes on other climate policies, suggesting that low political trust could explain the peculiar public aversion against carbon taxes. Recycling revenues from existing carbon prices back to households, often considered crucial for securing public support, is only associated with minor increases in the acceptance of higher carbon taxes. Finally, the results reveal that age, market liberal values, and good governance are related to carbon tax opposition in a non-monotonous pattern. © 2020 Elsevier Ltd",Carbon taxes; Climate policy; Public attitudes; Public opinion; Random forest,,,Elsevier Ltd,22146296,,,English,Article,Final,,Scopus,2-s2.0-85099447771
Li R.; Li Z.; Guo L.,"Li, Ronghua (57432623200); Li, Zhenhui (57432654500); Guo, Lin (57432591700)",57432623200; 57432654500; 57432591700,What Determine the Corporate Tax Rates During the COVID-19? Evidence From 113 Countries,2022,Frontiers in Public Health,9,,816561,,,,5,10.3389/fpubh.2021.816561,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85123744969&doi=10.3389%2ffpubh.2021.816561&partnerID=40&md5=9ad86b76e6be618ad5ab130269278cea,"School of Business, Henan Normal University, Xinxiang, China; Soft Science Research Base for Industrial Transformation and Upgrading, Henan Normal University, Xinxiang, China; School of Economics and Management, Communication University of China, Beijing, China; School of Economics, Tianjin University of Commerce, Tianjin, China","Fiscal policy implications become an important tool to soften the negative consequences of the COVID-19 pandemic. Given this backdrop, this paper analyses the drivers of corporate tax rates during the COVID-19 pandemic (i.e., in 2020 and 2021). The results from 113 advanced and developing economies show that a higher level of the COVID-19-related uncertainty is positively associated with the corporate tax rates. Similarly, the country size (measured by total population) increases the corporate tax rates. Per capita income is negatively related to the corporate tax rates, but this evidence is insufficient to consider different estimation techniques. The paper also discusses potential fiscal policy implications for the driving mechanism of corporate tax rates for the post-COVID-19 era. Copyright © 2022 Li, Li and Guo.",corporate tax rates; COVID-19; COVID-19-related uncertainty; machine learning estimators; World Pandemic Uncertainty Index,COVID-19; Humans; Income; Pandemics; SARS-CoV-2; Taxes; human; income; pandemic; tax,,Frontiers Media S.A.,22962565,,,English,Article,Final,All Open Access; Gold Open Access; Green Open Access,Scopus,2-s2.0-85123744969
Liang J.; Jiang W.; Wu C.,"Liang, Jinhao (57877447600); Jiang, Wenqian (57656758800); Wu, Chenye (55648102900)",57877447600; 57656758800; 55648102900,Effective Carbon Tax Learning via Cap and Trade,2022,"Proceedings of 2022 IEEE 5th International Electrical and Energy Conference, CIEEC 2022",,,,4326,4331,5,0,10.1109/CIEEC54735.2022.9846303,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85137357898&doi=10.1109%2fCIEEC54735.2022.9846303&partnerID=40&md5=b3020948852d3bc8f6fe90daa2ea2a55,"Xidian University, School of Computer Science and Technology, Shaanxi, Xi'an, China; The Chinese University of Hong Kong, Shenzhen and Shenzhen Institute of Artificial Intelligence and Robotics for Society, School of Science and Engineering, Guangdong, Shenzhen, China","Global warming warrants the global adoption of carbon reduction schemes, among which the two most popular ones are carbon tax (CT) and the cap-and-trade (CAT) program with quite different implementations. CT levies taxes on the energy generation while CAT directly limits the total carbon emission in the system. Hence, in practice, CAT is more adjustable than CT due to the long legislation process for altering tax rate, though CT is much easier to implement. In this paper, we seek to learn the most effective tax rate through CAT programs by establishing the equivalence between CT and CAT. Through bridging the two schemes, we use numerical study to highlight the different dynamics for the schemes to converge to the equivalent point. © 2022 IEEE.",Cap and trade; Carbon reduction; Carbon tax; Machine learning,Carbon; Commerce; Emission control; Global warming; Machine learning; Cap and trade; Cap-and-trade program; Carbon emissions; Carbon reduction; Carbon taxes; Energy generations; Learn+; Machine-learning; Tax rates; Total carbon; Taxation,,Institute of Electrical and Electronics Engineers Inc.,,978-166541104-2,,English,Conference paper,Final,,Scopus,2-s2.0-85137357898
Liao X.; Pan L.,"Liao, Xiaoli (58237754400); Pan, Le (58236546700)",58237754400; 58236546700,Building a Corporate Tax Risk Model Based on Machine Learning Methods,2023,"2023 IEEE International Conference on Integrated Circuits and Communication Systems, ICICACS 2023",,,,,,,1,10.1109/ICICACS57338.2023.10099901,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85158128052&doi=10.1109%2fICICACS57338.2023.10099901&partnerID=40&md5=d4e3f523fbaa7572e8f92e0232f8d2e3,"Center for Trans-Himalaya Studies, Leshan Normal University, Leshan, China","As the economy diversifies and business types increase, the existing tax risk(TR) models in some companies are usually inefficient and difficult to cover all taxpayers in the company, while the company leadership lacks a positive attitude towards risk model building, and more importantly, there is no talent to build risk models professionally, and TRs are usually discovered unintentionally in other business processes rather than through professional risk models, such a working mechanism It is really difficult to truly prevent TRs. Therefore, in order to improve the efficiency of the company's TR identification and management, this paper adopts the decision tree (DT) algorithm of machine learning to build a TR model. Compared with the existing model of the company, the newly built model can effectively identify and classify the company's risk through the decision number method. It is hoped that the model constructed in this paper can also be applied to other companies' TR management. © 2023 IEEE.",decision tree; machine learning; risk identification; tax risk,Decision trees; Machine learning; Attitude towards risks; Business Process; Machine learning methods; Machine-learning; Model-based OPC; On-machines; Positive attitude; Risk Identification; Risk modeling; Tax risk; Taxation,,Institute of Electrical and Electronics Engineers Inc.,,979-835039846-5,,English,Conference paper,Final,,Scopus,2-s2.0-85158128052
